Variables.Description,YEAR,Bronx,Brooklyn,Manhattan,Queens, Staten Island,,,,,,,,,
Rental Vacancies (% of units),2017,4.702,8.433,13.783,10.264,8.075,,,,,,,,,
Overcrowding (% of units with more than one occupant per room),20017,12.68073,9.586571,6.422775,9.119827,4.422556,,,,,,,,,
"Section 8 Housing Vouchers (per 100,000 households)",2018,2632.475,562.573,910.370,370.686,402.538,,,,,,,,,
COMMUTING PATTERNS,,,,,,,,,,,,,,,
Commute 60 Minutes Or More One Way (% of workers),2017,37.663,28.889,12.381,32.098,38.143,,,,,,,,,
Commute Time (average minutes each way),2017,46.200,43.200,32.500,44.400,45.800,,,,,,,,,
ELDERY POVERTY,,,,,,,,,,,,,,,
Elderly Poverty (# of adults 65 and older),2017,40989.000,73418.000,46220.000,47149.000,8550.000,,,,,,,,,
Elderly Poverty (% of adults 65 and older),2017,23.776,21.055,17.733,13.678,11.677,,,,,,,,,
"WORK, WEALTH & POVERTY",,,,,,,,,,,,,,,
Employed Full-Time (% of workers),2017,74.685,79.593,83.226,79.983,80.600,,,,,,,,,
Employed Part-Time (% of workers),2017,25.315,20.407,16.774,20.017,19.400,,,,,,,,,
Employed Workers with Income Below Poverty Level (%),2017,12.210,7.780,5.624,5.198,2.989,,,,,,,,,
Gini Coefficient of Income Inequality,2017,0.511,0.531,0.594,0.447,0.461,,,,,,,,,
Gini Coefficient of Income Inequality: Change Since 2005-2007 (% change),2006 to 2017,5.975,6.922,-0.785,5.972,8.565,,,,,,,,,
INDUSTRY  STRUCTURE,,,,,,,,,,,,,,,
"Industry Category: Agriculture, Forestry, Fishing, Hunting & Mining (% of all employed)",2017,0.096,0.119,0.042,0.114,0.046,,,,,,,,,
"Industry Category: Arts, Entertainment, Recreation, Accommodation and Food Services (% of all employed)",2017,11.478,9.735,10.141,11.654,7.588,,,,,,,,,
Industry Category: Construction (% of all employed),2017,4.770,4.972,2.119,7.702,7.092,,,,,,,,,
"Industry Category: Educational Services, Health Care & Social Assistance (% of all employed)",2017,33.129,27.840,23.263,24.190,31.064,,,,,,,,,
"Industry Category: Finance, Insurance, Real Estate, Rental & Leasing (% of all employed)",2017,6.571,7.768,15.427,7.501,9.272,,,,,,,,,
Industry Category: Information (% of all employed),2017,1.557,4.795,6.326,2.432,2.072,,,,,,,,,
Industry Category: Manufacturing (% of all employed),2017,3.003,3.174,3.256,3.592,2.292,,,,,,,,,
Industry Category: Other Service (% of all employed),2017,5.736,5.316,4.771,6.589,4.631,,,,,,,,,
"Industry Category: Professional, Scientific, Management, Administrative & Waste Management (% of all employed)",2017,9.143,14.063,20.326,11.311,11.112,,,,,,,,,
Industry Category: Public Administration (% of all employed),2017,3.857,3.824,2.501,4.126,6.256,,,,,,,,,
Industry Category: Retail Trade (% of all employed),2017,11.203,9.362,7.499,9.843,8.889,,,,,,,,,
"Industry Category: Transportation, Warehousing & Utilities (% of all employed)",2017,7.727,6.819,2.525,8.712,8.060,,,,,,,,,
Industry Category: Wholesale Trade (% of all employed),2017,1.730,2.211,1.803,2.235,1.625,,,,,,,,,
OCUUPATIONAL  DISTRIB. ,,,,,,,,,,,,,,,
"Occupational Category: Management, Business, Science & Arts (% of all employed)",2017,24.570,42.949,59.403,33.480,42.271,,,,,,,,,
"Occupational Category: Natural resources, Construction & Maintenance (% of all employed)",2017,6.411,5.911,2.636,8.626,8.361,,,,,,,,,
"Occupational Category: Production, Transportation & Material Moving (% of all employed)",2017,10.669,8.292,4.263,10.769,9.203,,,,,,,,,
Occupational Category: Sales & Office (% of all employed),2017,23.963,20.705,19.433,22.132,21.425,,,,,,,,,
Occupational Category: Service (% of all employed),2017,34.388,22.143,14.265,24.993,18.740,,,,,,,,,
LABOR FORCE,,,,,,,,,,,,,,,
Labor Force Participation Rate (% working or actively looking for work),2017,60.257,63.621,67.456,64.186,59.235,,,,,,,,,
Median Household Income ($),2017,37397.000,56942.000,85071.000,64509.000,79201.000,,,,,,,,,
Median Personal Earnings ($),2017,25765.000,37392.000,59380.000,36324.000,46564.000,,,,,,,,,
Private Wage and Salary Workers (% of all employed),2017,79.552,78.932,83.614,80.536,75.946,,,,,,,,,
Self-employed (% of all employed),2017,5.852,6.895,8.176,5.943,3.513,,,,,,,,,
TANF and General Assistance (% of households in past 12 months),2917,8.559,5.031,2.675,3.272,4.864,,,,,,,,,
Unemployed (% ages 16 and older),2017,6.581,4.087,3.612,3.324,2.558,,,,,,,,,
Work for Government (% of all employed),2017,14.476,14.040,8.047,13.446,20.463,,,,,,,,,
POVERTY,,,,,,,,,,,,,,,
Poverty (% in households with incomes below poverty),2017,28.033,19.811,16.223,12.114,11.787,,,,,,,,,
Poverty (% of households with incomes below NYC CEO poverty line),2017,27.000,19.600,13.200,17.800,16.800,,,,,,,,,
,,,,,,,,,,,,,,,
